"","Timestamp","Age","t1","t2","t3","t4","t5","t6","t7","t8","t9","FirstType","FirstEssay","Code","firstNormal","firstFun","FUN_ANS1","FUN_A1","FUN_ANS2","FUN_A2","FUN_ANS3","FUN_A3","FUN_ANS4","FUN_A4","FUN_ANS5","FUN_A5","SAD_ANS1","SAD_A1","SAD_ANS2","SAD_A2","SAD_ANS3","SAD_A3","SAD_ANS4","SAD_A4","SAD_ANS5","SAD_A5","PrimEng","Female","RaceCode","DegreeCode","readTM","readBook","readSci","readMag","readProf","readNone","UsesGlasses","SpritzExp","FUN","SAD","Y","trt","FS"
"46","12/2/2014 1:14:16",23,3494,3357,53580,35874,13354,23716,103485,61262,60398,"Normal","Fun","5i6zen",1,1,0,1,1,3,1,4,1,1,1,4,1,4,1,3,1,2,0,2,1,2,1,1,6,5,1,1,0,0,1,0,1,0,4,4,4,0,"FUN"
"47","12/2/2014 1:15:18",31,114770,4751,58818,50883,3002,11865,61212,27804,43059,"Normal","Fun","uozizt",1,1,0,1,1,3,1,4,1,1,1,4,0,3,0,1,0,1,1,1,1,2,1,0,2,5,1,0,0,1,0,0,0,1,4,2,4,0,"FUN"
"48","12/2/2014 1:15:47",25,12119,7519,117112,47231,14832,26047,98435,49403,81055,"Normal","Fun","e06u19",1,1,1,2,1,3,1,4,1,1,1,4,1,4,0,2,0,1,1,1,1,2,1,0,2,5,0,0,0,0,0,0,1,1,5,3,5,0,"FUN"
"49","12/2/2014 1:15:48",52,6287,5991,106326,60203,18926,33487,99279,51479,92400,"Normal","Fun","b4pins",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,0,1,1,1,1,2,1,0,6,6,1,1,0,1,1,0,1,3,5,4,5,0,"FUN"
"50","12/2/2014 1:15:56",29,14859,4317,69586,32905,14203,26384,101914,58868,50418,"Normal","Fun","p52dic",1,1,1,2,1,3,1,4,1,1,1,4,0,2,0,2,1,2,1,1,0,4,1,0,6,3,1,1,1,1,1,0,1,0,5,2,5,0,"FUN"
"51","12/2/2014 1:16:21",29,4552,9498,49626,32860,8010,28363,98776,22523,65392,"Normal","Fun","drra6g",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,0,1,1,1,1,2,1,0,6,5,1,0,1,0,1,0,1,0,5,4,5,0,"FUN"
"52","12/2/2014 1:16:43",44,9687,1821,3637,14305,1746,32145,98031,46662,39755,"Normal","Fun","vmt4ah",1,1,0,1,1,3,1,4,1,1,1,4,1,4,1,3,0,4,0,3,1,2,1,0,1,5,1,1,0,0,0,0,0,0,4,3,4,0,"FUN"
"53","12/2/2014 1:17:56",27,5156,7426,47896,27741,12609,23887,105280,45589,57563,"Normal","Fun","w4or5b",1,1,0,1,1,3,0,0,1,1,1,4,1,4,1,3,1,2,1,1,1,2,1,0,6,4,1,1,1,1,1,0,1,0,3,5,3,0,"FUN"
"54","12/2/2014 1:20:10",44,5445,7586,97023,37408,14892,26744,99045,36379,52360,"Normal","Fun","l4uwly",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,0,3,1,1,1,2,1,1,6,5,1,1,0,0,1,0,1,0,5,4,5,0,"FUN"
"55","12/2/2014 1:27:51",36,1756,2957,3831,83305,2079,4672,7783,336482,143485,"Normal","Fun","t517kz",1,1,0,1,0,2,1,4,1,1,0,3,1,4,1,3,1,2,1,1,1,2,1,0,1,5,1,0,0,0,0,0,0,0,2,5,2,0,"FUN"
